sector,camera,ccd,target_ra,target_dec,target_name,enabled
20,3,3,210.219333,81.846589,2020ut,true
23,1,3,185.015708,5.343289,2020ftl,true
44,2,1,85.1666674,16.4600941,2021aesq,true
45,1,4,85.1666674,16.4600941,2021aesq,true
15,1,4,327.658167,36.456989,2019pdx,true

40,1,1,292.646875,35.776111,2021udg,true
41,1,2,292.646875,35.776111,2021udg,true
80,4,2,274.933761651,66.0131880367,2024pvw,true
81,4,2,274.933761651,66.0131880367,2024pvw,true
22,3,3,228.479042,52.722981,2020dgc,true
69,1,2,358.2181012,-23.3322759,2023szc,true